ERROR 2025-06-22 01:39:31,842 views Failed to get test results: 'EnhancedPerformanceTestRunner' object has no attribute 'get_test_results'
ERROR 2025-06-22 01:39:36,884 views Failed to get test results: 'EnhancedPerformanceTestRunner' object has no attribute 'get_test_results'
ERROR 2025-06-22 01:39:41,851 views Failed to get test results: 'EnhancedPerformanceTestRunner' object has no attribute 'get_test_results'
INFO 2025-06-22 02:38:59,582 views Starting enhanced CLIENT->SERVER performance tests: enhanced_test_1750552739_d403d2e8
INFO 2025-06-22 02:38:59,587 views CLIENT resource monitoring started
INFO 2025-06-22 02:38:59,587 views Resource monitoring started
INFO 2025-06-22 02:38:59,588 views Testing websocket CLIENT->SERVER...
INFO 2025-06-22 02:38:59,588 views Starting WebSocket CLIENT->SERVER performance test
INFO 2025-06-22 02:38:59,653 views WebSocket CLIENT->SERVER test completed: 5/5 successful
INFO 2025-06-22 02:38:59,654 views Completed websocket CLIENT->SERVER testing
INFO 2025-06-22 02:38:59,655 views Testing longpolling CLIENT->SERVER...
INFO 2025-06-22 02:38:59,657 views Starting Long Polling CLIENT->SERVER performance test
INFO 2025-06-22 02:38:59,849 views Long Polling CLIENT->SERVER test completed: 5/5 successful
INFO 2025-06-22 02:38:59,851 views Completed longpolling CLIENT->SERVER testing
INFO 2025-06-22 02:38:59,851 views Testing firebase CLIENT->SERVER...
INFO 2025-06-22 02:38:59,852 views Starting REAL End-to-End Firebase performance test
INFO 2025-06-22 02:38:59,852 views Step 1: Registering real test tokens...
INFO 2025-06-22 02:39:00,083 views Step 2: Verifying token registration...
INFO 2025-06-22 02:39:00,149 views Step 3: Sending REAL push notifications...
INFO 2025-06-22 02:39:00,321 views Step 4: Measuring end-to-end delivery time...
INFO 2025-06-22 02:39:12,365 views Step 5: Cleaning up test tokens...
INFO 2025-06-22 02:39:12,365 views REAL End-to-End Firebase test completed: 5/5 tests successful
INFO 2025-06-22 02:39:12,366 views Completed firebase CLIENT->SERVER testing
INFO 2025-06-22 02:39:12,690 views CLIENT resource monitoring stopped
INFO 2025-06-22 02:39:12,690 views Resource monitoring stopped
INFO 2025-06-22 02:39:12,690 views Enhanced CLIENT->SERVER performance tests completed: enhanced_test_1750552739_d403d2e8
INFO 2025-06-22 02:39:12,691 views Enhanced CLIENT->SERVER performance tests completed: enhanced_test_1750552739_d403d2e8
INFO 2025-06-22 03:26:27,285 views Starting enhanced CLIENT->SERVER performance tests: enhanced_test_1750555587_3b635fde
INFO 2025-06-22 03:26:27,292 views CLIENT resource monitoring started
INFO 2025-06-22 03:26:27,296 views Resource monitoring started
INFO 2025-06-22 03:26:27,299 views Testing websocket CLIENT->SERVER...
INFO 2025-06-22 03:26:27,300 views Starting WebSocket CLIENT->SERVER performance test
INFO 2025-06-22 03:26:27,470 views WebSocket CLIENT->SERVER test completed: 5/5 successful
INFO 2025-06-22 03:26:27,471 views Completed websocket CLIENT->SERVER testing
INFO 2025-06-22 03:26:27,471 views Testing longpolling CLIENT->SERVER...
INFO 2025-06-22 03:26:27,472 views Starting Long Polling CLIENT->SERVER performance test
INFO 2025-06-22 03:26:27,700 views Long Polling CLIENT->SERVER test completed: 5/5 successful
INFO 2025-06-22 03:26:27,703 views Completed longpolling CLIENT->SERVER testing
INFO 2025-06-22 03:26:27,704 views Testing firebase CLIENT->SERVER...
INFO 2025-06-22 03:26:27,704 views Starting Enhanced Firebase performance test
INFO 2025-06-22 03:26:27,706 views Step 1: Registering enhanced test tokens...
INFO 2025-06-22 03:26:27,772 views [SUCCESS] Registered enhanced test token 1: 62.99ms
INFO 2025-06-22 03:26:27,841 views [SUCCESS] Registered enhanced test token 2: 68.56ms
INFO 2025-06-22 03:26:27,900 views [SUCCESS] Registered enhanced test token 3: 58.27ms
INFO 2025-06-22 03:26:27,900 views Step 2: Verifying token registration...
INFO 2025-06-22 03:26:27,953 views [SUCCESS] Server has 7 active tokens
INFO 2025-06-22 03:26:27,954 views Step 3: Testing push notification API...
INFO 2025-06-22 03:26:28,007 views [SUCCESS] Firebase API accessible: 52.96ms response time
INFO 2025-06-22 03:26:28,099 views [SUCCESS] Send API accessible: 91.46ms response time
INFO 2025-06-22 03:26:28,100 views Step 4: Measuring enhanced API latency...
INFO 2025-06-22 03:26:28,134 views [SUCCESS] API ping 1: 34.16ms
INFO 2025-06-22 03:26:28,172 views [SUCCESS] API ping 2: 37.32ms
INFO 2025-06-22 03:26:28,215 views [SUCCESS] API ping 3: 43.21ms
INFO 2025-06-22 03:26:28,216 views Step 5: Test summary...
INFO 2025-06-22 03:26:28,216 views Enhanced Firebase test completed: 8/8 tests successful
